from_id,to_id
1,1
1,2
1,3
1,4
1,5
2,6
2,7
2,8
2,9
2,10
2,11
3,12
3,13
3,14
3,15
4,16
4,17
4,18
4,19
4,20
5,21
5,22
5,23
5,24
5,25
5,26
6,27
6,28
6,29
6,30
7,31
7,32
7,33
7,34
7,35
8,36
8,37
8,38
8,39
8,40
9,1
9,3
9,5
9,7
9,9
10,2
10,4
10,6
10,8
10,10
10,12
11,11
11,13
11,15
11,17
12,14
12,16
12,18
12,20
12,22
13,19
13,21
13,23
13,25
14,24
14,26
14,28
14,30
14,32
15,27
15,29
15,31
15,33
15,35
15,37
16,34
16,36
16,38
16,40
17,39
17,1
17,2
17,3
18,4
18,5
18,6
18,7
18,8
19,9
19,10
19,11
19,12
19,13
20,14
20,15
20,16
20,17
20,18
20,19
21,20
21,21
21,22
21,23
22,24
22,25
22,26
22,27
22,28
23,29
23,30
23,31
23,32
23,33
24,34
24,35
24,36
24,37
24,38
24,39
25,40
25,1
25,2
25,3
26,4
26,5
26,6
26,7
26,8
26,9
27,10
27,11
27,12
27,13
27,14
28,15
28,16
28,17
28,18
28,19
28,20
29,21
29,22
29,23
29,24
30,25
30,26
30,27
30,28
30,29
30,30
31,31
31,32
31,33
31,34
31,35
32,36
32,37
32,38
32,39
32,40
33,1
33,2
33,3
33,4
33,5
33,6
34,7
34,8
34,9
34,10
34,11
35,12
35,13
35,14
35,15
35,16
36,17
36,18
36,19
36,20
36,21
36,22
37,23
37,24
37,25
37,26
38,27
38,28
38,29
38,30
38,31
38,32
39,33
39,34
39,35
39,36
39,37
40,38
40,39
40,40
40,1
41,2
41,3
41,4
41,5
41,6
41,7
42,8
42,9
42,10
42,11
42,12
43,13
43,14
43,15
43,16
43,17
44,18
44,19
44,20
44,21
44,22
44,23
45,24
45,25
45,26
45,27
46,28
46,29
46,30
46,31
46,32
46,33
47,34
47,35
47,36
47,37
47,38
48,39
48,40
48,1
48,2
48,3
49,4
49,5
49,6
49,7
49,8
49,9
50,10
50,11
50,12
50,13
50,14
50,15
51,16
51,17
51,18
51,19
51,20
52,21
52,22
52,23
52,24
52,25
52,26
53,27
53,28
53,29
53,30
53,31
54,32
54,33
54,34
54,35
54,36
54,37
55,38
55,39
55,40
55,1
56,2
56,3
56,4
56,5
56,6
56,7
57,8
57,9
57,10
57,11
57,12
58,13
58,14
58,15
58,16
58,17
59,18
59,19
59,20
59,21
59,22
59,23
60,24
60,25
60,26
60,27
61,28
61,29
61,30
61,31
61,32
61,33
62,34
62,35
62,36
62,37
62,38
63,39
63,40
63,1
63,2
63,3
64,4
64,5
64,6
64,7
64,8
64,9
65,10
65,11
65,12
65,13
65,14
66,15
66,16
66,17
66,18
66,19
66,20
67,21
67,22
67,23
67,24
68,25
68,26
68,27
68,28
68,29
68,30
69,31
69,32
69,33
69,34
69,35
70,36
70,37
70,38
70,39
70,40
71,1
71,2
71,3
71,4
71,5
71,6
72,7
72,8
72,9
72,10
72,11
73,12
73,13
73,14
73,15
73,16
74,17
74,18
74,19
74,20
74,21
74,22
75,23
75,24
75,25
75,26
76,27
76,28
76,29
76,30
76,31
76,32
77,33
77,34
77,35
77,36
77,37
78,38
78,39
78,40
78,1
79,2
79,3
79,4
79,5
79,6
79,7
80,8
80,9
80,10
80,11
80,12
81,13
81,14
81,15
81,16
81,17
82,18
82,19
82,20
82,21
82,22
82,23
83,24
83,25
83,26
83,27
84,28
84,29
84,30
84,31
84,32
84,33
85,34
85,35
85,36
85,37
85,38
86,39
86,40
86,1
86,2
86,3
87,4
87,5
87,6
87,7
87,8
87,9
88,10
88,11
88,12
88,13
88,14
89,15
89,16
89,17
89,18
89,19
89,20
90,21
90,22
90,23
90,24
91,25
91,26
91,27
91,28
91,29
91,30
92,31
92,32
92,33
92,34
92,35
93,36
93,37
93,38
93,39
93,40
94,1
94,2
94,3
94,4
94,5
94,6
95,7
95,8
95,9
95,10
95,11
96,12
96,13
96,14
96,15
96,16
97,17
97,18
97,19
97,20
97,21
97,22
98,23
98,24
98,25
98,26
99,27
99,28
99,29
99,30
99,31
99,32
100,33
100,34
100,35
100,36
100,37 
